Unique Identifier,"Job 
Code",Location,"London/
National",Job Title,Contract Type, Weekly Hours,Hourly Rate,Hourly Geo,Basic + Geo,4 weekly pay for OHR,4 weekly Geo for OHR,Weekly Geo for OHR,Annual Salary (hrs x 52 x rate),"Annual Geo 
(hrs x 52 x rate)",Annual Salary with Geo,Non-consolidated,Prem 1,"Prem 2 
(bank hol premium)","Prem 2 
(6th shift)",Shift 1,Shift 2,Kronos Rules/Pay Code,OSP Scheme (Dependent on amount of days worked),Holiday Scheme,Comments,Rate To Be Included?,Job Type Match,Parity Status,Standard Net Pay,Friday Net Pay,Saturday Net Pay,Sunday Net Pay,Overtime 1 Net Pay,Overtime 2 Net Pay,Standard Combined,Friday Combined,Saturday Combined,Sunday Combined,Overtime ,
RugbyCat C&E Night Driver,,Rugby,,Cat C&E Night Driver,,45,,,,,,,,,,,,,,,,,,,,Yes,HGV Driver,Post Parity, £ 17.60 , £ 18.31 , £ 19.55 , £ 20.63 ,,,£17.60,£18.31,£19.55,£20.63, n/a ,
RugbyDay Shunter/Assessor,,Rugby,,Day Shunter/Assessor,,40,,,,,,,,,,,,,,,,,,,,Yes,HGV Driver,Post Parity,£16.50,£17.46,£17.76,£20.55,,,£16.50,£17.46,£17.76,£20.55, n/a ,
RugbyNight Shunter/Assessor,,Rugby,,Night Shunter/Assessor,,40,,,,,,,,,,,,,,,,,,,,Yes,HGV Driver,Post Parity,£18.60,£19.31,£20.55,£21.63,,,£18.60,£19.31,£20.55,£21.63, n/a ,
BarnsleyShunters Day,,Barnsley,,Shunters Day,,40,£15.75 ,,15.75,,,,,,,,,,,,,,,,,Yes,HGV Driver,Post Parity, £ 17.21 , £ 17.95 , £ 18.87 , £ 19.20 ,,,£17.21,£17.95,£18.87,£19.20, n/a ,
BarnsleyShunters PM,,Barnsley,,Shunters PM,,40,£16.40 ,,16.4,,,,,,,,,,,,,,,,,Yes,HGV Driver,Post Parity, £ 17.87 , £ 18.60 , £ 19.29 , £ 19.61 ,,,£17.87,£18.60,£19.29,£19.61, n/a ,
BarnsleyShunters Night,,Barnsley,,Shunters Night,,40,£17.15 ,,17.15,,,,,,,,,,,,,,,,,Yes,HGV Driver,Post Parity, £ 18.59 , £ 19.10 , £ 21.69 , £ 22.96 ,,,£18.59,£19.10,£21.69,£22.96, n/a ,
WarringtonShunters Day,,Warrington,National,Shunters Day,,45,,,,,,,,,,,,,,,,,,,,Yes,HGV Driver,Post Parity, £ 16.15 , £ 18.65 , £ 18.65 , £ 18.65 ,,,£16.15,£18.65,£18.65,£18.65, n/a ,
WarringtonShunters Night,,Warrington,National,Shunters Night,,45,,,,,,,,,,,,,,,,,,,,Yes,HGV Driver,Post Parity, £ 17.40 , £ 19.65 , £ 19.65 , £ 19.65 ,,,£17.40,£19.65,£19.65,£19.65, n/a ,
RugbyDay Lead Shunter,,Rugby,,Day Lead Shunter,,40,,,,,,,,,,,,,,,,,,,,Yes,HGV Driver,Post Parity,£17.50,£18.46,£18.76,£21.55,,,£17.50,£18.46,£18.76,£21.55, n/a ,
RugbyNight Lead Shunter,,Rugby,,Night Lead Shunter,,40,,,,,,,,,,,,,,,,,,,,Yes,HGV Driver,Post Parity,£19.60,£20.31,£21.55,£22.63,,,£19.60,£20.31,£21.55,£22.63, n/a ,
WarringtonDay Lead Shunter,,Warrington,National,Day Lead Shunter,,40,,,,,,,,,,,,,,,,,,,,Yes,HGV Driver,Post Parity, £ 17.15 , £ 21.65 , £ 21.65 , £ 21.65 ,,,£17.15,£21.65,£21.65,£21.65, n/a ,
WarringtonNight Lead Shunter,,Warrington,National,Night Lead Shunter,,40,,,,,,,,,,,,,,,,,,,,Yes,HGV Driver,Post Parity, £ 18.40 , £ 22.65 , £ 22.65 , £ 22.65 ,,,£18.40,£22.65,£22.65,£22.65, n/a ,
BarnsleyLead Shunters Days,,Barnsley,,Lead Shunters Days,,40,£16.40 ,,16.4,,,,,,,,,,,,,,,,,Yes,HGV Driver,Post Parity, £ 18.21 , £ 18.95 , £ 19.87 , £ 20.20 ,,,£18.21,£18.95,£19.87,£20.20, n/a ,
BarnsleyLead Shunters PM,,Barnsley,,Lead Shunters PM,,40,£16.40 ,,16.4,,,,,,,,,,,,,,,,,Yes,HGV Driver,Post Parity, £ 18.87 , £ 19.60 , £ 20.29 , £ 20.61 ,,,£18.87,£19.60,£20.29,£20.61, n/a ,
BarnsleyLead Shunters Night,,Barnsley,,Lead Shunters Night,,40,£16.40 ,,16.4,,,,,,,,,,,,,,,,,Yes,HGV Driver,Post Parity, £ 19.59 , £ 20.10 , £ 22.69 , £ 23.96 ,,,£19.59,£20.10,£22.69,£23.96, n/a ,
RugbySenior Lead Shunter (Keith),,Rugby,,Senior Lead Shunter (Keith),,40,,,,,,,,,,,,,,,,,,,,Yes,HGV Driver,Post Parity,£18.50,£19.46,£19.76,£22.55,,,£18.50,£19.46,£19.76,£22.55, n/a ,
RugbyNight Senior Lead Shunter (Keith),,Rugby,,Night Senior Lead Shunter (Keith),,40,,,,,,,,,,,,,,,,,,,,Yes,HGV Driver,Post Parity,£20.60,£21.31,£22.55,£23.63,,,£20.60,£21.31,£22.55,£23.63, n/a ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Parity from Day 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Different Friday rate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nuneaton Rates = Rugby Rates ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesbury = use Birmingham rates ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
